[04/10/2025 23:48:19,12] START RETRAIN 
2025-10-04 23:48:20,051 | INFO | --- ODIN Retrain semestrale ---
2025-10-04 23:48:21,005 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-04 23:48:22,168 | INFO | [EUR/USD] OOS FAILED
2025-10-04 23:48:22,483 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-04 23:48:23,594 | INFO | [GBP/USD] OOS FAILED
2025-10-04 23:48:23,907 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-04 23:48:25,046 | INFO | [USD/JPY] OOS FAILED
2025-10-04 23:48:25,348 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-04 23:48:26,515 | INFO | [AUD/USD] OOS FAILED
2025-10-04 23:48:26,818 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-04 23:48:27,940 | INFO | [EUR/JPY] OOS FAILED
2025-10-04 23:48:28,248 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-04 23:48:29,376 | INFO | [GBP/JPY] OOS FAILED
2025-10-04 23:48:29,694 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-04 23:48:30,822 | INFO | [GOLD] OOS FAILED
2025-10-04 23:48:31,134 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-04 23:48:32,279 | INFO | [SILVER] OOS FAILED
2025-10-04 23:48:32,615 | INFO | [WRITE] params/current.json aggiornato.
2025-10-04 23:48:33,500 | INFO | Retrain completato.
[04/10/2025 23:48:33,60] END RETRAIN 
