[04/10/2025 18:42:58,73] START RETRAIN LIGHT 
2025-10-04 18:42:59,645 | INFO | --- ODIN Retrain semestrale ---
2025-10-04 18:43:00,473 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:43:01,601 | INFO | [EUR/USD] OOS FAILED
2025-10-04 18:43:01,903 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:43:03,070 | INFO | [GBP/USD] OOS FAILED
2025-10-04 18:43:03,372 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:43:04,521 | INFO | [USD/JPY] OOS FAILED
2025-10-04 18:43:04,822 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-04 18:43:05,959 | INFO | [AUD/USD] OOS FAILED
2025-10-04 18:43:06,259 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:43:07,376 | INFO | [EUR/JPY] OOS FAILED
2025-10-04 18:43:07,677 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-04 18:43:08,836 | INFO | [GBP/JPY] OOS FAILED
2025-10-04 18:43:09,137 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-04 18:43:10,271 | INFO | [GOLD] OOS FAILED
2025-10-04 18:43:10,571 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-04 18:43:11,671 | INFO | [SILVER] OOS FAILED
2025-10-04 18:43:11,988 | INFO | [WRITE] params/current.json aggiornato.
2025-10-04 18:43:12,871 | INFO | Retrain completato.
[04/10/2025 18:43:12,98] END RETRAIN LIGHT (err=0) 
