[06/10/2025  3:00:01,04] START RETRAIN LIGHT 
2025-10-06 03:00:03,472 | INFO | --- ODIN Retrain semestrale ---
2025-10-06 03:00:04,402 | INFO | [EUR/USD] carico/aggiorno cache TwelveData…
2025-10-06 03:00:06,073 | INFO | [EUR/USD] OOS FAILED
2025-10-06 03:00:06,390 | INFO | [GBP/USD] carico/aggiorno cache TwelveData…
2025-10-06 03:00:08,021 | INFO | [GBP/USD] OOS FAILED
2025-10-06 03:00:08,323 | INFO | [USD/JPY] carico/aggiorno cache TwelveData…
2025-10-06 03:00:09,950 | INFO | [USD/JPY] OOS FAILED
2025-10-06 03:00:10,257 | INFO | [AUD/USD] carico/aggiorno cache TwelveData…
2025-10-06 03:00:11,840 | INFO | [AUD/USD] OOS FAILED
2025-10-06 03:00:12,175 | INFO | [EUR/JPY] carico/aggiorno cache TwelveData…
2025-10-06 03:00:13,791 | INFO | [EUR/JPY] OOS FAILED
2025-10-06 03:00:14,096 | INFO | [GBP/JPY] carico/aggiorno cache TwelveData…
2025-10-06 03:00:15,868 | INFO | [GBP/JPY] OOS FAILED
2025-10-06 03:00:16,175 | INFO | [GOLD] carico/aggiorno cache TwelveData…
2025-10-06 03:00:17,839 | INFO | [GOLD] OOS FAILED
2025-10-06 03:00:18,155 | INFO | [SILVER] carico/aggiorno cache TwelveData…
2025-10-06 03:00:19,789 | INFO | [SILVER] OOS FAILED
2025-10-06 03:00:20,119 | INFO | [WRITE] params/current.json aggiornato.
2025-10-06 03:00:20,977 | INFO | Retrain completato.
[06/10/2025  3:00:21,08] END RETRAIN LIGHT (err=0) 
