asset,vendorSymbol,kind,bucket,timeframe,regime,metrics_adx,metrics_bbw,metrics_atr_pct,metrics_r2_60,context_bbw_q25,context_bbw_q50,context_bbw_q75,context_atrp_q25,context_atrp_q50,context_atrp_q75
CHF/JPY,CHF/JPY,forex,FX,D1,TRENDING,36.029119742,4.4876442595,0.459480334,0.8592325417,1.8719357518,2.5300785743,3.8332024879,0.5035944269,0.5547221194,0.6740137294
EUR/JPY,EUR/JPY,forex,FX,D1,TRENDING,25.0518257792,3.3847074302,0.5037505092,0.7594792953,1.7805535193,2.0301209116,3.0313727844,0.5305310748,0.5918660604,0.6747953149
GBP/NZD,GBP/NZD,forex,FX,D1,TRENDING,32.2796327013,2.1461938543,0.5368430892,0.567813215,1.6451648422,1.9648152156,2.622993668,0.5192986483,0.5870346004,0.6851631168
AUD/CAD,AUD/CAD,forex,FX,D1,LATERALE,19.7542157467,2.4251535474,0.6060021919,0.4537712963,1.5441810255,1.9499178097,2.3727747292,0.5420543399,0.6159861249,0.7582570673
AUD/JPY,AUD/JPY,forex,FX,D1,LATERALE,16.9064477652,4.1611404676,0.8350253411,0.6663090915,2.3264995668,3.1582570786,4.2947654451,0.6794711961,0.7803467435,1.0057448221
CAD/JPY,CAD/JPY,forex,FX,D1,LATERALE,14.7712985361,4.5585703284,0.6824348072,0.2687138095,1.6707478064,2.6202197114,3.357839418,0.6253243523,0.7121507332,0.8636855276
EUR/AUD,EUR/AUD,forex,FX,D1,LATERALE,14.9521156726,2.4529566626,0.6069329147,0.0928535342,1.727568872,2.0794540415,2.9503390832,0.5085355221,0.5811619253,0.7401876926
EUR/CAD,EUR/CAD,forex,FX,D1,LATERALE,15.6117364553,1.5131381597,0.4309312591,0.5444310145,1.3988516578,1.9592803934,2.8307754293,0.4642113843,0.5713400719,0.8144593547
GBP/AUD,GBP/AUD,forex,FX,D1,LATERALE,14.9350167219,2.5023675689,0.5877020347,0.2865126019,1.577664048,2.1874531978,2.6125298657,0.4879373265,0.5704799861,0.6965088685
NZD/CAD,NZD/CAD,forex,FX,D1,LATERALE,15.9864865801,2.1412999702,0.5278545875,0.2682095683,1.6238630785,2.0306761232,3.0376284919,0.5724973112,0.6318361714,0.7574564957
NZD/JPY,NZD/JPY,forex,FX,D1,LATERALE,15.6122626782,3.7459914559,0.7335553853,0.0003229351,2.3415493282,2.9515992677,3.7546390692,0.6456252781,0.7373481829,0.981578232
NZD/USD,NZD/USD,forex,FX,D1,LATERALE,18.8274984512,3.3002238006,0.6596264947,0.5328850017,2.6031371391,2.9710517083,3.371319004,0.7044043094,0.7638028,0.9050549541
USD/JPY,USD/JPY,forex,FX,D1,LATERALE,17.6765805819,4.9006395539,0.6961571241,0.5595024824,2.3925214216,3.0803109391,4.5752258775,0.8008308952,0.8839277956,1.0388317129
CAD/CHF,CAD/CHF,forex,FX,D1,INDEFINITO,20.4000558028,2.1931291696,0.6377491663,0.827121342,1.4281193023,1.8730767696,2.6896364757,0.5999111869,0.668777017,0.8226412315
EUR/NZD,EUR/NZD,forex,FX,D1,INDEFINITO,23.73581992,2.0567681732,0.5368367914,0.6437435021,1.6596129138,2.0502296362,3.2212426431,0.5301116317,0.5772805002,0.7242440865
GBP/JPY,GBP/JPY,forex,FX,D1,INDEFINITO,22.2744540035,3.7999157305,0.5903059418,0.54398728,1.7584622649,2.4766238949,3.2060577656,0.5570977504,0.6284440918,0.7198121037
